metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
teleport.audit.parquetlog.s3.flush.seconds.bucket,count,,,,Bucket of parquet log s3 flush seconds.,0,teleport,parquet log s3 flush seconds,
teleport.audit.parquetlog.s3.flush.seconds.sum,count,,,,Sum of parquet log s3 flush seconds.,0,teleport,parquet log s3 flush seconds,
teleport.audit.parquetlog.s3.flush.seconds.count,count,,,,Count of parquet log s3 flush seconds.,0,teleport,parquet log s3 flush seconds,
teleport.audit.parquetlog.delete.events.seconds.bucket,count,,,,Bucket of parquet log delete events seconds.,0,teleport,parquet log delete events seconds,
teleport.audit.parquetlog.delete.events.seconds.sum,count,,,,Sum of parquet log delete events seconds.,0,teleport,parquet log delete events seconds,
teleport.audit.parquetlog.delete.events.seconds.count,count,,,,Count of parquet log delete events seconds.,0,teleport,parquet log delete events seconds,
teleport.audit.parquetlog.batch.size.bucket,count,,,,Bucket of parquet log batch size.,0,teleport,parquet log batch size,
teleport.audit.parquetlog.batch.size.sum,count,,,,Sum of parquet log batch size.,0,teleport,parquet log batch size,
teleport.audit.parquetlog.batch.size.count,count,,,,Count of parquet log batch size.,0,teleport,parquet log batch size,
teleport.audit.parquetlog.batch.count.count,count,,,,Count of parquet log batch count.,0,teleport,parquet log batch count,
teleport.audit.parquetlog.last_processed.timestamp,gauge,,,,Timestamp of last processed parquet log.,0,teleport,parquet log last processed,
teleport.audit.parquetlog.age_oldest_processed.message,gauge,,,,Age of oldest processed message.,0,teleport,parquet log age oldest processed,
teleport.audit.parquetlog.errors_from_collect_count.count,count,,,,Count of errors from collect.,0,teleport,parquet log errors from collect,
teleport.connected_resources,gauge,,,,Number of connected resources.,0,teleport,connected resources,
teleport.registered_servers,gauge,,,,Number of registered servers.,0,teleport,registered servers,
teleport.registered_servers.by_install_methods,gauge,,,,Number of registered servers by install methods.,0,teleport,registered servers by install methods,
teleport.user.login.total.count,count,,,,Number of user logins.,0,teleport,user logins,
teleport.migrations,gauge,,,,Number of migrations.,0,teleport,migrations,
teleport.watcher.event_sizes.bucket,count,,,,Bucket of watcher event sizes.,0,teleport,watcher event sizes,
teleport.watcher.event_sizes.sum,count,,,,Sum of watcher event sizes.,0,teleport,watcher event sizes,
teleport.watcher.event_sizes.count,count,,,,Count of watcher event sizes.,0,teleport,watcher event sizes,
teleport.watcher.events.bucket,count,,,,Bucket of watcher events.,0,teleport,watcher events,
teleport.watcher.events.sum,count,,,,Sum of watcher events.,0,teleport,watcher events,
teleport.watcher.events.count,count,,,,Count of watcher events.,0,teleport,watcher events,
